model,crime_cat,n_cells,spearman_global,kendall_global,recall5,recall10,ndcg,pai10,pei10,nmae,smape,log_rmse,intra_spearman,intra_recall10,intra_ndcg,intra_pai,intra_n_districts,macro_intra_spearman,min_intra_spearman,macro_intra_recall10,min_intra_recall10,macro_intra_pai,min_intra_pai,macro_recall10,min_recall10,macro_ndcg,min_ndcg
M4c_transporte,robo_hurto_callejero,4312.0,0.9064181174856356,0.7721410677185695,0.3080669407289238,0.4869615903791876,0.8686414677696023,4.869615903791876,0.7530779266990866,0.7342559055543776,1.4876769911057774,0.8368554068935051,0.5927740798257575,0.3722138299806449,0.8815141384301636,3.7221382998064487,41.0,,,,,,,,,,
M4c_transporte,extorsion,3573.0,0.7825729570569631,0.694957888393938,0.3308398503910235,0.5586535192111527,0.8627168218021406,5.586535192111526,0.7666822211852543,0.8358273329696955,1.8305601177796957,0.48658297701389197,0.4008266148036654,0.2811374023795857,0.7578512631718086,2.8113740237958567,40.0,,,,,,,,,,
M4c_transporte,estafa,3762.0,0.808898535190956,0.7009026873981963,0.382832993296415,0.5925386184785777,0.9071100995758365,5.9253861847857765,0.8260869565217391,0.6340046318759593,1.6580928452738894,0.4126258632488864,0.48930601393657086,0.320599925743048,0.8308715199903051,3.2059992574304808,39.0,,,,,,,,,,
M4c_transporte,violencia_familiar_sexual,4212.0,0.8927445125681226,0.7475116248309293,0.3246662464905747,0.5216753566722053,0.9076827757817658,5.216753566722053,0.8070200319092359,0.5805291121525439,1.390935153999817,0.6598699754495738,0.5948186323432271,0.37163847880928663,0.9003649514397415,3.716384788092866,41.0,,,,,,,,,,
M4c_transporte,secuestro,3353.0,0.3951499403428112,0.3577970166018097,0.4367469879518072,0.6716867469879518,0.6705842015449963,6.716867469879518,0.6716867469879518,1.1749938740557877,1.9676784722354967,0.207622586722479,0.24022685175081804,0.28198247564456,0.5519320146835218,2.8198247564456005,34.0,,,,,,,,,,
M4c_transporte,__macro__,,,,,,,,,,,,,,,,,0.4635904385320078,0.24022685175081804,0.32551442251142504,0.2811374023795857,3.2551442251142513,2.8113740237958567,0.566303166345815,0.4869615903791876,0.8433470732948682,0.6705842015449963
M7a_persist,robo_hurto_callejero,4312.0,0.9100410999075605,0.778960460569088,0.30124861946251075,0.4877285556510001,0.866614359513184,4.87728555651,0.7542640256197366,0.727330126890586,1.4834598810619715,0.8160930856585773,0.587224391523273,0.3756525893855897,0.8778313862742555,3.7565258938558967,41.0,,,,,,,,,,
M7a_persist,extorsion,3573.0,0.7764272678631109,0.6875320219850022,0.32573954437266234,0.5678340700442026,0.8715082312667684,5.678340700442026,0.7792813812412506,0.7529152080579391,1.785942579601584,0.42030725882365705,0.417055168598354,0.31225706621464033,0.7876749054889243,3.122570662146403,40.0,,,,,,,,,,
M7a_persist,estafa,3762.0,0.8132447903091952,0.7079429277420388,0.3754007577965608,0.5939959195569805,0.9005188441926575,5.939959195569805,0.8281186509548965,0.5915428617672494,1.6311073408131809,0.3818476960665682,0.4777714717329359,0.3324599051228896,0.8356865480024092,3.324599051228895,39.0,,,,,,,,,,
M7a_persist,violencia_familiar_sexual,4212.0,0.9070319456519839,0.7771953402827471,0.32644244542485534,0.514031971580817,0.9058339289153533,5.14031971580817,0.7951958872540329,0.5423527082546016,1.3725325115812428,0.6371499594186222,0.5767350166022648,0.3777819109634185,0.903093008985554,3.777819109634185,41.0,,,,,,,,,,
M7a_persist,secuestro,3353.0,0.38760258220406385,0.35082840424326406,0.4427710843373494,0.6656626506024096,0.6703506085150727,6.656626506024096,0.6656626506024096,1.1862092522777308,1.968650336184726,0.20707114794693154,0.24027827686454614,0.28465627243600394,0.5382572184038519,2.8465627243600387,34.0,,,,,,,,,,
M7a_persist,__macro__,,,,,,,,,,,,,,,,,0.45981286506427466,0.24027827686454614,0.33656154882450845,0.28465627243600394,3.3656154882450835,2.8465627243600387,0.565850633487082,0.4877285556510001,0.8429651944806071,0.6703506085150727
M7b_historial_esp,robo_hurto_callejero,4312.0,0.9108241974412946,0.7806721041697898,0.301754816541907,0.48456865873113264,0.8622775996372626,4.845686587311326,0.7493772980666588,0.7276456470776991,1.4801267142229955,0.8153899498250743,0.5809450175865513,0.3734137993470394,0.8787092717604575,3.734137993470394,41.0,,,,,,,,,,
M7b_historial_esp,extorsion,3573.0,0.7723958963825814,0.6805285345656084,0.3172390343420605,0.5491329479768786,0.842697773419574,5.491329479768786,0.7536164255716287,0.6432871864735902,1.7017790629305398,0.33341341646009476,0.38673976151118816,0.2830680596904728,0.7431113698537054,2.830680596904728,40.0,,,,,,,,,,
